Individual_ID,status,n_cells
Donor_1051,kept,2857.0
Donor_1372,kept,4264.0
Donor_700,kept,2014.0
Donor_889,kept,1765.0
Donor_1140,kept,1119.0
Donor_1128,kept,4904.0
Donor_1252,kept,3546.0
Donor_213,kept,3363.0
Donor_1358,kept,1578.0
Donor_981,kept,1887.0
Donor_1263,kept,30.0
Donor_283,kept,7763.0
Donor_27,kept,3610.0
Donor_1280,kept,4351.0
Donor_1392,kept,5916.0
Donor_863,kept,1154.0
Donor_1270,,
Donor_1279,kept,9614.0
Donor_732,kept,6756.0
Donor_126,kept,6269.0
Donor_909,kept,4194.0
Donor_901,kept,611.0
Donor_1096,,
Donor_80,kept,10445.0
Donor_741,kept,6005.0
Donor_834,kept,4825.0
Donor_1437,kept,5862.0
Donor_380,kept,4216.0
Donor_1452,kept,118.0
Donor_692,kept,7941.0
Donor_868,kept,4668.0
Donor_483,kept,4217.0
Donor_200,kept,3893.0
Donor_460,kept,830.0
Donor_582,kept,346.0
Donor_56,kept,3913.0
Donor_971,kept,3826.0
Donor_230,kept,1361.0
Donor_816,kept,1463.0
Donor_85,kept,1660.0
Donor_663,,
Donor_190,kept,3454.0
Donor_699,,
Donor_1240,kept,7444.0
Donor_204,kept,5693.0
Donor_773,kept,4617.0
Donor_1277,kept,4901.0
Donor_686,kept,4579.0
Donor_584,kept,3529.0
Donor_1387,kept,6679.0
Donor_364,kept,5903.0
Donor_155,kept,5885.0
Donor_934,kept,5463.0
Donor_576,kept,3187.0
Donor_147,kept,9042.0
Donor_1417,kept,5781.0
Donor_1322,kept,5187.0
Donor_848,kept,4668.0
Donor_625,,
Donor_769,kept,1386.0
,removed,10497.0
Donor_951,kept,4711.0
Donor_695,kept,3876.0
Donor_835,kept,1760.0
Donor_838,kept,1455.0
,removed,21.0
Donor_47,kept,2729.0
Donor_1294,kept,2804.0
Donor_1207,kept,4737.0
Donor_878,kept,3821.0
Donor_1180,kept,3197.0
Donor_840,kept,936.0
Donor_719,kept,7463.0
Donor_1379,kept,4272.0
Donor_400,kept,4667.0
Donor_279,kept,4294.0
Donor_559,kept,4176.0
Donor_751,kept,3208.0
Donor_503,kept,4565.0
Donor_865,kept,7282.0
Donor_1095,kept,5262.0
Donor_159,kept,5356.0
Donor_1118,kept,3324.0
Donor_418,kept,3889.0
Donor_1070,kept,4632.0
Donor_1150,kept,4756.0
Donor_1063,kept,4501.0
Donor_923,kept,2368.0
Donor_492,kept,2260.0
Donor_924,kept,292.0
Donor_442,kept,7259.0
Donor_950,kept,6894.0
Donor_836,kept,6331.0
Donor_208,kept,5941.0
Donor_1401,kept,2912.0
Donor_278,kept,6498.0
Donor_1213,kept,6190.0
Donor_1173,kept,5811.0
Donor_608,kept,4377.0
Donor_309,kept,5473.0
Donor_620,kept,4615.0
Donor_409,kept,7773.0
Donor_1382,kept,6946.0
Donor_516,kept,5293.0
Donor_1408,kept,5006.0
Donor_173,kept,2902.0
Donor_30,kept,2943.0
Donor_761,kept,2451.0
Donor_119,kept,1313.0
Donor_1298,kept,1953.0
Donor_1332,kept,6607.0
Donor_175,kept,5861.0
Donor_129,kept,5833.0
Donor_677,kept,5380.0
Donor_1426,kept,5018.0
Donor_1344,kept,1502.0
Donor_805,kept,7084.0
Donor_411,kept,5511.0
Donor_311,kept,4779.0
Donor_808,kept,4801.0
Donor_408,kept,4737.0
Donor_1364,kept,5138.0
Donor_823,kept,5699.0
Donor_572,kept,5564.0
Donor_807,kept,5431.0
Donor_1159,kept,3197.0
Donor_424,kept,1873.0
Donor_528,kept,8393.0
Donor_814,kept,9560.0
Donor_1267,kept,4570.0
Donor_1110,kept,1704.0
Donor_1058,kept,7317.0
Donor_1067,kept,6543.0
Donor_378,kept,6482.0
Donor_1000,kept,6084.0
Donor_1217,kept,2803.0
Donor_337,kept,4933.0
Donor_1410,kept,6452.0
Donor_536,kept,4654.0
Donor_1078,kept,4404.0
Donor_1248,kept,4728.0
Donor_1450,kept,3262.0
Donor_1457,kept,7241.0
Donor_324,kept,3203.0
Donor_1130,kept,1264.0
Donor_1038,kept,1505.0
Donor_475,kept,1088.0
Donor_319,,
Donor_943,kept,8192.0
Donor_44,kept,8321.0
Donor_1420,kept,6299.0
Donor_1367,kept,5875.0
Donor_506,kept,5135.0
Donor_946,kept,4202.0
Donor_136,kept,7504.0
Donor_546,kept,5501.0
Donor_1212,kept,5150.0
Donor_653,kept,4971.0
Donor_632,kept,4443.0
Donor_929,kept,3215.0
Donor_1438,kept,8196.0
Donor_317,kept,7299.0
Donor_355,kept,6410.0
Donor_937,kept,5403.0
Donor_1048,kept,3842.0
Donor_31,kept,3573.0
Donor_768,kept,2142.0
Donor_455,kept,1351.0
Donor_1370,kept,1375.0
Donor_787,kept,1251.0
Donor_428,kept,6988.0
Donor_1238,kept,6629.0
Donor_1006,kept,5952.0
Donor_914,kept,1594.0
Donor_545,kept,1942.0
Donor_25,kept,8455.0
Donor_997,kept,7194.0
Donor_844,kept,6154.0
Donor_709,kept,4543.0
Donor_493,kept,1279.0
Donor_1436,kept,1324.0
Donor_631,kept,7034.0
Donor_1196,kept,6744.0
Donor_177,kept,6291.0
Donor_1320,kept,4086.0
Donor_1325,kept,3786.0
,removed,11.0
Donor_646,kept,5395.0
Donor_494,kept,6677.0
Donor_1100,kept,4743.0
Donor_882,kept,3446.0
Donor_161,kept,2628.0
Donor_638,kept,2390.0
Donor_1072,kept,8664.0
Donor_481,kept,7102.0
Donor_164,kept,7274.0
Donor_675,kept,7298.0
Donor_1304,kept,4417.0
Donor_233,kept,1286.0
Donor_1291,kept,6679.0
Donor_1312,kept,3151.0
Donor_1117,kept,5909.0
Donor_855,kept,4160.0
Donor_1082,kept,2411.0
Donor_224,kept,7272.0
Donor_659,kept,6551.0
Donor_349,kept,6419.0
Donor_1334,kept,5338.0
Donor_307,kept,5181.0
Donor_393,kept,3501.0
Donor_1326,kept,3875.0
Donor_334,kept,7173.0
Donor_1308,kept,7072.0
Donor_1469,kept,7010.0
Donor_478,kept,2608.0
Donor_853,kept,1142.0
Donor_973,kept,5198.0
Donor_1462,kept,5047.0
Donor_597,kept,5102.0
Donor_1219,kept,2739.0
Donor_673,kept,1894.0
Donor_214,kept,7274.0
Donor_1254,kept,6945.0
Donor_1186,kept,4751.0
Donor_301,kept,5976.0
Donor_297,kept,3806.0
Donor_162,kept,6419.0
Donor_936,kept,5090.0
Donor_74,kept,5266.0
Donor_1272,kept,3166.0
Donor_978,kept,3510.0
Donor_550,kept,3464.0
Donor_611,kept,7715.0
Donor_1206,kept,7180.0
Donor_616,kept,7594.0
Donor_637,kept,4084.0
Donor_41,kept,4210.0
Donor_1380,kept,846.0
Donor_1233,kept,6570.0
Donor_430,kept,6301.0
Donor_1156,kept,4728.0
Donor_1386,kept,4341.0
Donor_1424,kept,3042.0
Donor_1305,kept,8059.0
Donor_552,kept,7903.0
Donor_1484,kept,7043.0
Donor_286,kept,4435.0
Donor_432,kept,5215.0
Donor_1129,kept,3427.0
Donor_238,kept,8859.0
Donor_979,kept,7003.0
Donor_1204,kept,5010.0
Donor_131,kept,569.0
Donor_340,kept,12064.0
Donor_1103,kept,7445.0
Donor_367,kept,7872.0
Donor_1307,kept,4589.0
Donor_821,kept,9387.0
Donor_1487,,
Donor_90,kept,5969.0
Donor_29,kept,5128.0
Donor_1324,kept,1325.0
Donor_281,kept,9553.0
Donor_37,kept,8265.0
Donor_461,kept,5151.0
Donor_912,kept,1528.0
Donor_777,kept,993.0
Donor_804,kept,7063.0
Donor_554,kept,6053.0
Donor_519,kept,3719.0
Donor_1369,kept,2427.0
Donor_736,kept,1405.0
Donor_1259,kept,3023.0
Donor_192,kept,6998.0
Donor_68,kept,7023.0
Donor_298,kept,1850.0
Donor_471,kept,742.0
Donor_273,kept,1372.0
Donor_465,kept,291.0
Donor_537,kept,6423.0
Donor_1459,kept,2965.0
Donor_1015,kept,3131.0
Donor_694,kept,1423.0
Donor_447,kept,178.0
Donor_687,kept,90.0
Donor_991,kept,6290.0
Donor_1099,kept,5728.0
Donor_1300,kept,4916.0
Donor_1451,kept,4119.0
Donor_495,kept,8020.0
Donor_718,kept,5112.0
Donor_210,kept,7322.0
Donor_813,kept,4723.0
Donor_1423,kept,3842.0
Donor_772,kept,4268.0
Donor_583,kept,3300.0
Donor_907,kept,2765.0
Donor_520,kept,2679.0
Donor_358,kept,1858.0
Donor_591,kept,929.0
Donor_1389,kept,1406.0
Donor_757,kept,1523.0
Donor_862,kept,639.0
Donor_66,kept,327.0
Donor_542,kept,6870.0
Donor_551,kept,6538.0
Donor_103,kept,4404.0
Donor_592,kept,3669.0
Donor_635,kept,2974.0
Donor_595,kept,1342.0
Donor_21,kept,2721.0
Donor_437,kept,2807.0
Donor_893,kept,1623.0
Donor_468,kept,1261.0
Donor_373,kept,1325.0
Donor_1023,kept,1044.0
Donor_1176,kept,3426.0
Donor_1318,kept,3095.0
Donor_1019,kept,2307.0
Donor_1395,kept,2171.0
Donor_1418,kept,1881.0
Donor_1135,kept,1543.0
Donor_479,kept,723.0
Donor_1317,kept,8222.0
Donor_232,kept,7309.0
Donor_268,kept,5366.0
Donor_1098,kept,5515.0
Donor_450,kept,3716.0
Donor_54,kept,1365.0
Donor_1297,kept,5603.0
Donor_320,kept,2553.0
Donor_954,kept,823.0
Donor_1375,kept,521.0
Donor_759,,
Donor_581,kept,5711.0
Donor_1124,kept,1850.0
Donor_944,kept,1151.0
Donor_1301,kept,1017.0
Donor_726,kept,556.0
Donor_681,kept,2378.0
Donor_1391,kept,4478.0
Donor_304,kept,2888.0
Donor_531,kept,2469.0
Donor_1195,kept,2208.0
Donor_205,kept,2342.0
Donor_38,kept,5374.0
Donor_1125,kept,4015.0
Donor_1278,kept,3568.0
Donor_1409,kept,3561.0
Donor_1295,kept,1966.0
Donor_738,kept,1425.0
Donor_1411,kept,4095.0
Donor_1062,kept,3973.0
Donor_397,kept,1321.0
Donor_112,kept,762.0
Donor_920,kept,392.0
Donor_1230,kept,3387.0
Donor_101,kept,3606.0
Donor_498,kept,1753.0
Donor_510,kept,2405.0
Donor_1261,kept,1073.0
Donor_708,kept,674.0
Donor_1414,kept,6745.0
Donor_1193,kept,6326.0
Donor_10,kept,5562.0
Donor_1406,kept,4803.0
Donor_318,kept,3814.0
Donor_55,kept,6380.0
Donor_124,kept,8523.0
Donor_728,kept,8140.0
Donor_223,kept,3735.0
Donor_1276,kept,2972.0
Donor_1007,kept,579.0
Donor_1068,kept,7594.0
Donor_1123,kept,5162.0
Donor_928,kept,6464.0
Donor_1022,kept,2197.0
Donor_179,kept,1128.0
Donor_1390,kept,7098.0
Donor_135,kept,3616.0
Donor_1246,kept,6391.0
Donor_121,kept,5808.0
Donor_1188,kept,4511.0
Donor_245,kept,3728.0
Donor_899,kept,7887.0
Donor_277,kept,7446.0
Donor_1194,kept,7262.0
Donor_1065,kept,7105.0
Donor_264,kept,5994.0
Donor_377,kept,186.0
Donor_48,kept,8412.0
Donor_70,kept,6229.0
Donor_485,kept,5571.0
Donor_756,kept,5591.0
Donor_275,kept,4103.0
Donor_826,kept,3307.0
Donor_332,kept,8291.0
Donor_753,kept,6820.0
Donor_236,kept,6292.0
Donor_998,kept,6139.0
Donor_904,kept,5733.0
Donor_241,kept,2203.0
Donor_4,kept,8502.0
Donor_706,kept,7538.0
Donor_809,kept,7309.0
Donor_181,kept,6897.0
,removed,3.0
Donor_1131,kept,6751.0
Donor_605,kept,6430.0
Donor_333,kept,5017.0
Donor_1126,kept,4188.0
Donor_987,kept,713.0
,removed,426.0
Donor_870,kept,9201.0
Donor_1257,kept,6910.0
Donor_1288,kept,6560.0
Donor_92,kept,5466.0
Donor_310,kept,7877.0
Donor_860,kept,6840.0
Donor_1236,kept,4059.0
Donor_1483,kept,2874.0
Donor_647,kept,5669.0
Donor_994,kept,7793.0
Donor_417,kept,6106.0
Donor_562,kept,6040.0
Donor_935,kept,3350.0
Donor_915,kept,8795.0
Donor_40,kept,7205.0
Donor_1430,kept,6837.0
Donor_955,kept,3326.0
Donor_244,kept,3593.0
Donor_15,kept,5706.0
Donor_185,kept,5786.0
Donor_295,kept,4981.0
Donor_453,kept,5370.0
Donor_1407,kept,3319.0
Donor_1145,kept,3311.0
Donor_218,kept,1948.0
Donor_1090,kept,3579.0
Donor_1174,kept,4076.0
Donor_1031,kept,3956.0
Donor_662,kept,794.0
Donor_18,kept,7086.0
Donor_676,kept,6113.0
Donor_748,kept,6175.0
Donor_187,kept,4514.0
Donor_254,kept,4338.0
Donor_643,kept,1092.0
Donor_755,kept,4329.0
Donor_685,kept,3318.0
Donor_956,kept,2924.0
Donor_1114,kept,2104.0
Donor_94,kept,1756.0
Donor_514,kept,8277.0
Donor_1144,kept,5044.0
Donor_871,kept,3181.0
Donor_902,kept,2858.0
Donor_1343,kept,3026.0
Donor_1134,kept,508.0
Donor_285,kept,7103.0
Donor_897,kept,6986.0
Donor_660,kept,6041.0
Donor_1203,kept,5055.0
Donor_521,kept,2809.0
Donor_67,kept,1860.0
Donor_590,kept,9293.0
Donor_563,kept,6485.0
Donor_801,kept,5071.0
Donor_713,kept,4706.0
Donor_1025,kept,4366.0
Donor_524,kept,2585.0
Donor_172,kept,4390.0
Donor_1014,kept,3103.0
Donor_1106,kept,3071.0
Donor_1105,kept,1093.0
Donor_892,kept,1537.0
,removed,95.0
Donor_648,kept,3847.0
Donor_302,kept,6591.0
Donor_1492,kept,7303.0
Donor_1011,kept,4633.0
Donor_845,kept,4533.0
Donor_1309,kept,2610.0
Donor_1113,,
Donor_1439,kept,3270.0
Donor_885,kept,2278.0
Donor_1008,kept,1924.0
,removed,47.0
,removed,22.0
Donor_1490,kept,9995.0
Donor_191,kept,3990.0
Donor_407,kept,4328.0
Donor_139,kept,3619.0
Donor_374,kept,1577.0
Donor_938,kept,1469.0
Donor_396,kept,4490.0
Donor_976,kept,8111.0
Donor_356,kept,5706.0
Donor_975,kept,1871.0
Donor_88,kept,53.0
,removed,60.0
Donor_522,kept,8662.0
Donor_1091,kept,6510.0
Donor_996,kept,4051.0
Donor_926,kept,4901.0
Donor_799,kept,3805.0
Donor_664,kept,1382.0
Donor_523,kept,9921.0
Donor_570,kept,6914.0
Donor_888,kept,5041.0
Donor_850,kept,4444.0
Donor_157,kept,3014.0
Donor_1235,kept,6562.0
Donor_343,kept,6666.0
Donor_1041,kept,4623.0
Donor_404,kept,4247.0
Donor_1353,kept,1367.0
Donor_557,kept,6497.0
Donor_16,kept,4396.0
Donor_918,kept,4133.0
Donor_1348,kept,4576.0
Donor_359,kept,4529.0
Donor_843,kept,8748.0
Donor_477,kept,6028.0
Donor_985,kept,5938.0
Donor_797,kept,4970.0
Donor_1359,kept,1210.0
Donor_1275,kept,207.0
,removed,1.0
Donor_535,kept,37.0
