Individual_ID,status,n_cells
Donor_1355,kept,6928.0
Donor_137,kept,5495.0
Donor_1133,kept,4804.0
Donor_1009,kept,3513.0
Donor_1403,kept,1844.0
Donor_859,kept,1289.0
Donor_711,kept,9108.0
Donor_145,kept,6269.0
Donor_1111,kept,5458.0
Donor_1251,kept,5721.0
Donor_1059,kept,5493.0
Donor_1388,kept,2533.0
Donor_782,kept,8765.0
Donor_1323,kept,2023.0
Donor_600,kept,4933.0
,removed,5417.0
Donor_1214,kept,8536.0
Donor_1337,kept,8207.0
Donor_727,kept,5808.0
Donor_729,kept,5155.0
Donor_195,kept,949.0
Donor_280,kept,4178.0
Donor_1432,kept,4019.0
Donor_1033,kept,4023.0
Donor_880,kept,3250.0
Donor_574,kept,3296.0
Donor_980,kept,972.0
Donor_1208,kept,3140.0
Donor_251,kept,5944.0
Donor_482,kept,5128.0
Donor_1142,kept,2394.0
Donor_171,kept,2283.0
Donor_1216,kept,7211.0
Donor_911,kept,6112.0
Donor_1042,kept,4065.0
Donor_426,kept,1749.0
Donor_598,kept,552.0
,removed,7.0
Donor_1139,kept,7638.0
Donor_52,kept,5609.0
Donor_737,kept,5811.0
Donor_189,kept,5745.0
Donor_1310,kept,4699.0
Donor_1314,kept,3367.0
Donor_1187,kept,4193.0
Donor_143,kept,3546.0
Donor_1421,kept,4730.0
Donor_1400,kept,3232.0
Donor_1265,kept,3801.0
Donor_507,kept,5875.0
Donor_203,kept,5545.0
Donor_752,kept,6008.0
Donor_1357,kept,4955.0
Donor_1482,kept,4644.0
Donor_1486,kept,4784.0
Donor_256,kept,6189.0
Donor_446,kept,3597.0
Donor_215,kept,5759.0
Donor_669,kept,4363.0
Donor_903,kept,4102.0
Donor_1143,,
Donor_810,kept,6460.0
Donor_679,kept,5577.0
Donor_827,kept,5995.0
Donor_1413,kept,2403.0
Donor_873,kept,1592.0
Donor_431,kept,5882.0
Donor_792,kept,4787.0
Donor_292,,
Donor_439,kept,4885.0
Donor_949,kept,735.0
Donor_619,kept,1394.0
Donor_1132,kept,8235.0
Donor_1494,kept,6005.0
Donor_294,kept,4101.0
Donor_1470,kept,3509.0
Donor_1269,kept,2204.0
Donor_325,kept,5968.0
Donor_440,kept,5310.0
Donor_931,kept,4431.0
Donor_656,kept,2843.0
Donor_354,kept,1340.0
Donor_649,kept,6806.0
Donor_818,kept,6892.0
Donor_579,kept,4092.0
Donor_636,kept,3376.0
Donor_1461,kept,2081.0
Donor_266,kept,5279.0
Donor_735,kept,5143.0
Donor_331,kept,4137.0
Donor_1108,kept,2020.0
Donor_1120,kept,689.0
Donor_771,kept,6554.0
Donor_925,kept,6606.0
Donor_1234,kept,4233.0
Donor_993,,
Donor_86,,
Donor_1356,kept,9431.0
Donor_123,kept,6847.0
Donor_336,kept,5796.0
Donor_612,kept,4585.0
Donor_78,kept,3267.0
Donor_499,kept,3274.0
Donor_419,kept,3353.0
Donor_1456,kept,5446.0
Donor_599,kept,3262.0
