pool_name,Individual_ID,demux_dons,vir_res,n_vir_dons,init_ratio,final_dons,cell_counts,n_final_dons,final_ratio,status
NPSAD-20201020-A2-cDNA,Donor_1158,donor2,3236,6,0.189961843263868,donor2,2078,6,0.204005497741999,kept
NPSAD-20201020-A2-cDNA,Donor_517,donor3,2753,6,0.16160845318462,donor5,1543,6,0.151482426860397,kept
NPSAD-20201020-A2-cDNA,Donor_271,donor4,2576,6,0.151218080422659,donor4,1550,6,0.152169644610249,kept
NPSAD-20201020-A2-cDNA,Donor_1431,donor5,2354,6,0.13818608746698,donor3,1579,6,0.155016689573925,kept
NPSAD-20201020-A2-cDNA,Donor_795,donor6,1753,6,0.102905782213091,donor6,213,6,0.0209110543883762,kept
NPSAD-20201021-A1-cDNA,Donor_1001,donor1,5314,3,0.640704123462744,donor1,4405,3,0.655603512427444,kept
NPSAD-20201021-A1-cDNA,Donor_1074,donor2,1815,3,0.218832891246684,donor2,1368,3,0.203601726447388,kept
NPSAD-20201021-A1-cDNA,Donor_1428,donor3,1165,3,0.140462985290571,donor3,946,3,0.140794761125167,kept
NPSAD-20201021-A2-cDNA,Donor_1001,donor1,4749,3,0.615235134084726,donor1,3919,3,0.63240277553655,kept
NPSAD-20201021-A2-cDNA,Donor_1074,donor2,1887,3,0.244461717839098,donor2,1409,3,0.227368081329676,kept
NPSAD-20201021-A2-cDNA,Donor_1428,donor3,1083,3,0.140303148076176,donor3,869,3,0.140229143133774,kept
NPSAD-20201022-A1-cDNA,Donor_1473,donor1,4089,5,0.342032622333752,donor1,2997,5,0.364332603938731,kept
NPSAD-20201022-A1-cDNA,Donor_1039,donor2,3118,5,0.260811375993308,donor2,2198,5,0.267201556041819,kept
NPSAD-20201022-A1-cDNA,Donor_833,donor3,2102,5,0.175826014219992,donor3,1763,5,0.214320447362023,kept
NPSAD-20201022-A1-cDNA,Donor_1224,donor4,1628,5,0.136177331660393,donor4,949,5,0.115365912958911,kept
NPSAD-20201022-A1-cDNA,Donor_731,donor5,1018,5,0.0851526557925554,donor5,319,5,0.0387794796985169,kept
NPSAD-20201022-A2-cDNA,Donor_1473,donor1,4123,5,0.346674514420247,donor1,2988,5,0.376749464128105,kept
NPSAD-20201022-A2-cDNA,Donor_1039,donor2,3135,5,0.263600437231985,donor2,2182,5,0.27512293531711,kept
NPSAD-20201022-A2-cDNA,Donor_833,donor3,2001,5,0.168250231228454,donor3,1647,5,0.20766612028748,kept
NPSAD-20201022-A2-cDNA,Donor_1224,donor4,1681,5,0.141343647523753,donor4,828,5,0.104400453915017,kept
NPSAD-20201022-A2-cDNA,Donor_731,donor5,953,5,0.0801311695955604,donor5,286,5,0.0360610263522885,kept
NPSAD-20201023-A1-cDNA,Donor_881,donor1,2150,3,0.374760327697403,donor1,1696,3,0.374475601678075,kept
NPSAD-20201023-A1-cDNA,Donor_585,donor2,1954,3,0.340596130381733,donor2,1632,3,0.36034444689777,kept
NPSAD-20201023-A1-cDNA,Donor_652,donor3,1633,3,0.284643541920864,donor3,1201,3,0.265179951424155,kept
NPSAD-20201023-A2-cDNA,Donor_881,donor1,2338,4,0.288072942336126,donor1,1939,4,0.315284552845528,kept
NPSAD-20201023-A2-cDNA,Donor_610,donor2,2070,4,0.25505174963036,donor2,1650,4,0.268292682926829,kept
NPSAD-20201023-A2-cDNA,Donor_585,donor3,2010,4,0.247658945293248,donor3,1590,4,0.258536585365854,kept
NPSAD-20201023-A2-cDNA,Donor_652,donor4,1698,4,0.209216362740266,donor4,971,4,0.157886178861789,kept
NPSAD-20201027-A1-cDNA,Donor_488,donor1,3417,6,0.210756800098686,donor5,1682,6,0.159627977602733,kept
NPSAD-20201027-A1-cDNA,Donor_386,donor2,2952,6,0.182076111762166,donor2,2098,6,0.199107905475942,kept
NPSAD-20201027-A1-cDNA,Donor_217,donor3,2854,6,0.17603157959662,donor1,2264,6,0.214861915156117,kept
NPSAD-20201027-A1-cDNA,Donor_642,donor4,2703,6,0.166718065749707,donor3,1886,6,0.178988326848249,kept
NPSAD-20201027-A1-cDNA,Donor_1363,donor5,2551,6,0.157342873003146,donor4,1858,6,0.176331024010629,kept
NPSAD-20201027-A1-cDNA,Donor_1035,donor6,1736,6,0.107074569789675,donor6,749,6,0.0710828509063301,kept
NPSAD-20201027-A2-cDNA,Donor_488,donor1,3527,6,0.220066138391464,donor5,1796,6,0.165942899380948,kept
NPSAD-20201027-A2-cDNA,Donor_386,donor2,2873,6,0.179259998752106,donor2,2072,6,0.191444146724568,kept
NPSAD-20201027-A2-cDNA,Donor_642,donor3,2731,6,0.170399950084233,donor3,1972,6,0.182204564353691,kept
NPSAD-20201027-A2-cDNA,Donor_217,donor4,2674,6,0.166843451675298,donor1,2160,6,0.19957497921094,kept
NPSAD-20201027-A2-cDNA,Donor_1363,donor5,2447,6,0.152679852748487,donor4,1859,6,0.1717638362746,kept
NPSAD-20201027-A2-cDNA,Donor_1035,donor6,1775,6,0.110750608348412,donor6,964,6,0.0890695740552527,kept
NPSAD-20201027-C1-cDNA,Donor_1101,donor1,3797,5,0.36038344722855,donor1,3091,5,0.385940816581346,kept
NPSAD-20201027-C1-cDNA,Donor_402,donor2,2139,5,0.203018223234624,donor2,1833,5,0.22886752403546,kept
NPSAD-20201027-C1-cDNA,Donor_65,donor3,2024,5,0.192103264996204,donor3,1092,5,0.136346610063678,kept
NPSAD-20201027-C1-cDNA,Donor_383,donor4,1340,5,0.127182991647684,donor4,1072,5,0.133849419403171,kept
NPSAD-20201027-C1-cDNA,Donor_1198,donor5,1236,5,0.117312072892938,donor5,921,5,0.114995629916344,kept
NPSAD-20201027-C2-cDNA,Donor_1101,donor1,4718,5,0.34521109241238,donor1,3969,5,0.349260823653643,kept
NPSAD-20201027-C2-cDNA,Donor_402,donor2,3021,5,0.22104338918563,donor2,2597,5,0.228528687082013,kept
NPSAD-20201027-C2-cDNA,Donor_65,donor3,2672,5,0.195507426648131,donor3,2257,5,0.198609644491376,kept
NPSAD-20201027-C2-cDNA,Donor_1198,donor4,1683,5,0.123143337967367,donor5,1268,5,0.111580429426258,kept
NPSAD-20201027-C2-cDNA,Donor_383,donor5,1573,5,0.115094753786493,donor4,1273,5,0.112020415346709,kept
NPSAD-20201028-A1-cDNA,Donor_927,donor1,3568,4,0.324836125273125,donor2,2799,4,0.336904188733751,kept
NPSAD-20201028-A1-cDNA,Donor_1464,donor2,3567,4,0.324745083758194,donor1,3054,4,0.367597496389023,kept
NPSAD-20201028-A1-cDNA,Donor_174,donor3,2258,4,0.205571740713765,donor3,1835,4,0.220871449205585,kept
NPSAD-20201028-A1-cDNA,Donor_312,donor4,1591,4,0.144847050254916,donor4,620,4,0.0746268656716418,kept
NPSAD-20201028-A2-cDNA,Donor_927,donor1,3587,4,0.329022197761879,donor2,2782,4,0.338319348169768,kept
NPSAD-20201028-A2-cDNA,Donor_1464,donor2,3573,4,0.327738029719318,donor1,3055,4,0.371518910373343,kept
NPSAD-20201028-A2-cDNA,Donor_174,donor3,2093,4,0.191983122362869,donor3,1712,4,0.208196521950626,kept
NPSAD-20201028-A2-cDNA,Donor_312,donor4,1649,4,0.151256650155935,donor4,674,4,0.0819652195062629,kept
NPSAD-20201028-C1-cDNA,Donor_1362,donor1,2989,5,0.267663651831289,donor1,2376,5,0.307732159046756,kept
NPSAD-20201028-C1-cDNA,Donor_1374,donor2,2986,5,0.267395003134235,donor3,1581,5,0.20476622199197,kept
NPSAD-20201028-C1-cDNA,Donor_828,donor3,2796,5,0.25038058565416,donor2,2018,5,0.261365108146613,kept
NPSAD-20201028-C1-cDNA,Donor_1341,donor4,1784,5,0.159756425181338,donor4,1341,5,0.173682165522601,kept
NPSAD-20201028-C1-cDNA,Donor_762,donor5,612,5,0.0548043341989791,donor5,405,5,0.0524543452920606,kept
NPSAD-20201028-C2-cDNA,Donor_1374,donor1,3312,5,0.275747231704271,donor3,1671,5,0.216114847387481,kept
NPSAD-20201028-C2-cDNA,Donor_1362,donor2,3126,5,0.260261427025227,donor1,2435,5,0.314924987066736,kept
NPSAD-20201028-C2-cDNA,Donor_828,donor3,3029,5,0.252185496628091,donor2,2194,5,0.28375581996896,kept
NPSAD-20201028-C2-cDNA,Donor_1341,donor4,1928,5,0.160519523769878,donor4,1067,5,0.137997930677703,kept
NPSAD-20201028-C2-cDNA,Donor_762,donor5,616,5,0.0512863208725335,donor5,365,5,0.0472064148991205,kept
NPSAD-20201029-A1-cDNA,Donor_1077,donor1,3846,4,0.28050470425206,donor1,3187,4,0.297156177156177,kept
NPSAD-20201029-A1-cDNA,Donor_476,donor2,3332,4,0.243016556049887,donor2,2675,4,0.249417249417249,kept
NPSAD-20201029-A1-cDNA,Donor_945,donor3,3318,4,0.241995478083291,donor4,2235,4,0.208391608391608,kept
NPSAD-20201029-A1-cDNA,Donor_329,donor4,3215,4,0.234483261614762,donor3,2628,4,0.245034965034965,kept
NPSAD-20201029-A2-cDNA,Donor_1077,donor1,3836,4,0.2880744968459,donor1,2975,4,0.300323036543509,kept
NPSAD-20201029-A2-cDNA,Donor_476,donor2,3242,4,0.243466506458396,donor2,2475,4,0.24984857662023,kept
NPSAD-20201029-A2-cDNA,Donor_945,donor3,3152,4,0.236707720036047,donor4,2078,4,0.209771855441147,kept
NPSAD-20201029-A2-cDNA,Donor_329,donor4,3086,4,0.231751276659658,donor3,2378,4,0.240056531395114,kept
NPSAD-20201029-C1-cDNA,Donor_168,donor1,3156,5,0.304898077480437,donor2,2367,5,0.335031847133758,kept
NPSAD-20201029-C1-cDNA,Donor_540,donor2,3033,5,0.293015167616655,donor1,2400,5,0.339702760084926,kept
NPSAD-20201029-C1-cDNA,Donor_457,donor3,2225,5,0.214955076804173,donor3,1171,5,0.165746638358103,kept
NPSAD-20201029-C1-cDNA,Donor_153,donor4,1448,5,0.139889865713458,donor4,832,5,0.117763623496108,kept
NPSAD-20201029-C1-cDNA,Donor_995,donor5,489,5,0.0472418123852768,donor5,295,5,0.0417551309271054,kept
NPSAD-20201029-C2-cDNA,Donor_540,donor1,3570,5,0.323927048362218,donor1,2846,5,0.371395015007177,kept
NPSAD-20201029-C2-cDNA,Donor_168,donor2,3380,5,0.306687233463388,donor2,2574,5,0.33589977815477,kept
NPSAD-20201029-C2-cDNA,Donor_457,donor3,2220,5,0.201433626712639,donor3,1193,5,0.155683152812215,kept
NPSAD-20201029-C2-cDNA,Donor_153,donor4,1343,5,0.121858270574358,donor4,756,5,0.0986558788986037,kept
